name,genre,summary
Batman: Arkham Knight - GCPD Lockdown,Adventure,Set after the events of Arkham Knight play as Nightwing to stop the Penguin from breaking out of the Gotham City Police Department in this thrilling story pack
Badblood,Sport Indie,Find your unique style of murder in this intimate and visceral local multiplayer for two and outwit your neighbor Same bloody field different bloody perspective Hide seek kill
BattleStick 2,Indie,BattleStick 2 is a humorous freetoplay physicsbased 2D stickman Multiplayer Game where you fight other stickmen in an arena with loads of equipment to choose from Its a direct successor to BattleStick
Auto Mechanic Sim,Racing Simulator Sport Strategy Indie,Auto Mechanic Sim is an exciting game that puts you in the drivers seat of a car service business
Best Game EU,Shooter,Addictive old school first person shooting meets mystery horror as you blast your way through a mysterious alien forest
Blocky.Go!,Platform Indie Arcade,Fun platformer to play when bored
Block of Rum,Adventure Indie,Block of Rum is a sandbox dedicated to building sailing ships and piracy
Betomis,Platform Puzzle,Explore dark dungeons as a valiant knight and survive using your wits and limited resources
Battle Brothers: Of Flesh and Faith,Strategy Turn-based strategy (TBS) Indie,The free Of Flesh and Faith DLC for Battle Brothers expands the game with two highly detailed origins  the Oathtakers and the Anatomists  two new banners new equipment and more than 50 new events
Battlestations: Midway,Real Time Strategy (RTS) Simulator Strategy,Battlestations Midway is an immense action game that drops players into massive air sea and undersea battles from Pearl Harbor to the Battle of Midway
Better Call Saul Kart,Racing,Join Saul Goodman and his friends in this high speed wacky kart racing game Big Trash Games promises that this is indeed a video game that can be played by humans
Bizzarioware,Simulator Indie,Bizzarioware is an ongoing collection of psychedelic strange and surreal microgames played for 15 seconds or less
Base of War,Strategy Indie,Base of War is a next generation 4x RTS game
Bepuzzled Jigsaw Puzzle: Japan,Puzzle,103 Jigsaw Puzzles of Japan New meets Old Three sizes of puzzle Timer and hints What great value
Auryn Quest,Puzzle Adventure,Auryn Quest is a jump and run adventure game based on Michael Endes novel The Neverending Story and his film adaptation of the same name
Birthright: The Gorgon's Alliance,Role-playing (RPG) Strategy Adventure,Birthright Gorgons Alliance is a hybrid wargame simfirstperson 3D RPG for PC CDROM released in 1996 based on the moderately popular Birthright DD campaign
Captivus,Strategy Turn-based strategy (TBS) Card & Board Game,Join the movement Build a deck equip your ship and take on others in intense 1v1 card battles
Butterflies,Adventure Indie,Butterflies is a video game about inline skating and graffiti Apparently some people did that before but they dont seem like theyll be doing it anymore
Castle Heist: Chapter 1,Adventure Indie,Castle Heist is an episodic stealth game where you must use your wits to find the path forward and your skills to sneak past the enemy
Cat Simulator: Animals on Farm,Simulator Adventure Indie,Sneak up on your enemies help Farmer Goat and Piggy and start a family
Camp Grizzly,Simulator Indie,You Are a Camp Counselor taking care of 4 kids Keep the children entertained or theyll leave and wander off Dont let the fire run out its bear season
Bruises,Point-and-click Adventure,Bruises is a short point  click adventure about keeping a relationship alive made for Ludum Dare 46
C. Kane,Role-playing (RPG),C Kane is an oldschool satirical game in the vein of classic Japanese console RPGs The game features talking beavers and Media Moguls
Carnage,Shooter,Medium sized Metal map
Cactus Arcade II,Shooter Platform Adventure,Cactus Arcade II is a collection of 19 bizarre and unique games with genres including shoot em up platformer adventure and first person shooter
Bunnies vs. Bunnies,Strategy Indie,A short but challenging realtime strategy game which is primarily a heavyhanded fable
Capcom Arcade 2nd Stadium: Eco Fighters,Shooter,Add CA2S Eco Fighters to your Capcom Arcade 2nd Stadium game lineup
CanYouSurvive?,Indie,CanYouSurvive is a challenging endless platform game Make your way through obstacles that get more difficult the further you get  But dont forget about the main character unique ability
Brutalism22,Puzzle Role-playing (RPG) Adventure,This is a retro horror game about the war in Ukraine and brutalist architecture in Eastern Europe
Castle Zanthu,Shooter,Mediumsized castle using Daikatana E3 textures Comes with a custom skybox and a poster screenshot
Bouldering Robot 3D,Platform Sport Indie,Bouldering action gameThis robot can neither walk nor jumpOnly hang and shift its weightSwing and Jump as you head for the goal at the topTotal 9 stages
Borderlands Double Game Add-On Pack,Shooter,The Double Game Addon Pack includes the following two downloadable contents DLCs for Borderlands   Borderlands The Zombie Island of Dr Ned  Borderlands Madd Moxxis Underdome Riot
Castle of Oblivion,Shooter,Large interconnected Metal castle with a sense of exploration
Breath of Ghosts,Simulator Indie,Breath of Ghosts is a firstperson horror game made in realistic 3D graphics that immerses you in an atmosphere of horror and scares you in every way The main goal is to survive and be saved
Castle Warriors,Strategy Indie,Castle Warriors is a rogue lite auto battler with a strategy twist Build your army one card at a time from over fifty units
Castle Terroretra,Puzzle Adventure,Released near the end of 1993 Castle Terroretra was Reldnis first Windows adventure game
Capcom Arcade 2nd Stadium: The Speed Rumbler,Shooter,Add CA2S The Speed Rumbler to your Capcom Arcade 2nd Stadium game lineup
Bocchi the Smash!,Fighting,Bocchi the Smash is a fan game of Bocchi the Rock made by DCinside Bocchi the Rock Gallery
Call of Otechestvo Donbass,Indie,Immerse yourself in a new shooter telling about a protracted conflict at Donbass
Cat Apartment,Adventure,Cat Apartment is a 25D swivel find gameplay dynamic cat hunt game where you need to take care of all the cats in the apartment Find cute cats hidden in a relaxing apartment
Blues for Mittavinda,Indie,A game about chaos
Castle Empire,Role-playing (RPG) Strategy,Unleash your strategic prowess
Brumal Quest,Shooter,Large snowy medieval village using Daikatana and Hexen2 textures and coming with snowthemed monster skins
Car Mechanic Simulator 2015: Trader Pack,Racing Simulator,New package of cars parts and possibilities for all car maniacs Buy classic oldtimers renovate them and sell with profit or keep in your collection of cars
Caribbean Jigsaw,Puzzle,Caribbean Jigsaw  solve the puzzles of old pirate and find the treasure
Break the Cube,Indie,SpeedRun the most hardcore game in the world you need to complete all levels and reach to the most epic end
Capcom Arcade 2nd Stadium: Hyper Dyne Side Arms,Shooter,Add CA2S Hyper Dyne Side Arms to your Capcom Arcade 2nd Stadium game lineup
Bridge to Another World: Cursed Clouds - Collector's Edition,Adventure,A terrible curse has descended upon the heavenly island city of Celestis and youre its citizens only hope
Burg Battle,Simulator Strategy Indie,Burg Battle is a reverse tower defense game by ElevenSeventy Send your armies to clash with your enemies destroy their castle and conquer their lands
Byod,Adventure Indie,You are starting your IT internship The details you got from the university are scarce just the address and the date today
Completion LawnCare,Simulator Arcade,A short game where you take strange lawnmowing requests and eventually get yourself into some big trouble
Chronicles of a Dark Lord: Rhapsody Clash,Music Role-playing (RPG) Indie,Experience the battles of the Chronicles of a Dark Lord series in this rhythmbased combat game
Centralia,Adventure Indie,The story of Henry Nelson who lost his daughter in mystical circumstances Henry goes to the dead city of Centralia to search for his daughter Shirley
Chroma,Indie,Set out on a mission to stop the attacks of the tyrannical machines Fight your way through a dystopian city and stop them You are the citys only hope
Chessmates,Adventure Indie,Chess become mad can you keep control on it Play as a chess knight defeat chess enemies in a new chess world
Chicken Invaders 3: Revenge of the Yolk - Christmas Edition,Indie,Dash across the galaxy to save our Christmas roast in this festive edition of Chicken Invaders Revenge of the Yolk
Cookie Space,Simulator Adventure Indie,This is an arcade adventure shooter set in a closed space Your task in the role of a tiny spaceship is to shoot asteroids very similar to cookies to clear the space around
Classic Card Game Old Maid,Sport Strategy,The perfect kidfriendly game for the whole family Play the classic card game Old Maid on your computer Who will be left with the odd Queen to become the Old Maid
Chaos,Adventure Indie,A darkfantasy style Action RPG set in a third person view Wield melee and magic abilities to defeat the enemies in the world and conquer the looming and impending evil
CosmoDreamer,Shooter Platform,From the popular free game Outside comes a dreamy and cute barrage shmups The visuals are colorful cute and fantastic and the game features active gameplay
CoderBear,Adventure Indie,CoderBear is a fun puzzle platformer with educational programming aspects
Chicken Invaders 5: Cluck of the Dark Side,Shooter,The fifth main series entry in the chicken themed space invaders style game
Cookie Store,Adventure Indie,Running a cafe is not an easy job Especially when youre not making profits Comedy romance friendship and business combine in this unique Visual Novel
Chyrza,Adventure,A firstperson flashfiction horror story Explore a surreal desert while collecting fragments of a memoir
Correction,Simulator,The game is a training simulator for shooting Teaches players the correct aim  The game has game modes in which there is a battle between players success points and music drops All this in correction
Charge!,Shooter,Charge Destroy the enemy can you reach the other side of the level
Cinders of Hades,Shooter,Cinders of Hades is a relaxing wave shooter arcadestyle VR game that all ages will enjoy It has some classic arcade influences translated to VR that veteran arcade players will appreciate
Community Build Project 3,Shooter,A map built by 10 different builders So 10 different styles everything is SP Basically same idea as CBP2
Cities: Skylines - Calm the Mind Radio,Simulator Strategy,Citybuilding got you stressed Tune that dial to Calm the Mind Radio the second relaxation station in the game to bring some chill vibes into your architectural workflow
CodeRed: Battle for Earth,Shooter,Standalone 3D firstperson shooter running on Quake IIs engine Your mission is to defend the earth from the alien invasion and to discover the URF commanders secrets
Chiyo-chan's Key,Platform Puzzle,Chiyochans Key is heavily based on Solomons key a game developed by Tecmo in 1986 The goal is the same grab the key and reach the goal while avoiding obstacles
Concrete Crown,Adventure,BEWARE THE MACHINES THEY VOMIT SHADOWS
Conspiratio,Simulator,Conspiratio is a free fanmade open source game project inspired by Fugger 2 Its a turnbased economic simulator of the modern age 17th century
Counterside,Role-playing (RPG) Simulator Strategy,CounterSide is a 2D strategic RPG developed by Studiobside Players roleplay as the boss of a private military company and lead their workers with superpowers to fight against various enemies
Cosh,Strategy,Space battles are not for the fainthearted Collect your team out of cyborgs maniacs or sociopaths infected with alien collective intelligence and manage not to lose it in the race for resources
Coloring Game 3,Indie,Coloring Game 3 is a new paintbynumber game which has already won hearts of numerous players Now the game offers new difficulty modes
Core,Shooter Platform,Core is an endless universe of games and worlds designed by a global community of creators Its a radically accessible game construction kit content exchange and gameplaying platform all in one
Changeling Charade,Role-playing (RPG) Indie,Put on a magical disguise to find true love As a changeling will you stay among the human nobility or join the fairy revolution
Classic Card Game Pinochle,Sport Strategy,What could be more enjoyable than this classic trickandmeld card game Pinochles phases will have you captivated for hours
Chance of the Dead,Point-and-click Adventure,Five years after her demise Janet Burdie is granted a night out to make her greatest wish come true Submitting her signature cake to the famous C3 baking competition
Clone Adventures,Indie,Clone Adventures is new type of 2D platform games with a fresh approach to gameplay Try to control a whole lot of clones and have complete level
Circuit Breakout: Dual Polarity,Adventure,Unravel the mysteries of a derelict facility as you control two characters with unique abilities simultaneously in this thoughtprovoking 3D puzzle adventure
Conquer the Universe,Strategy,Conquer the UniverseCTU is a Free To Play Idle Incremental game Build up yourself a robot army and try to conquer the universe with endless grow
Cosmic Ray,Adventure Indie,A game about exploring space in search of hospitable planets for colonization Casual gameplay and short rounds make it a great option for killing a few minutes
David Lynch Teaches Typing,Simulator Indie,Learn to type with acclaimed American avant garde filmmaker David Lynch
Creature Rumble,Simulator Strategy,Creature Rumble is a turn based single payer card game that allows you to collect 65 unique creature cards Create the best deck to defeat your foes and become the greatest rumble master of all time
Cropped,Indie,Cropped is a firstperson action horror adventure  Survive the night as the farm youve arrived at has taken a turn for the worse
Dark Romance: Sleepy Hollow Collector's Edition,Adventure,Can you save your hometown from the Headless Horseman
Cube 332,Indie,Cube 332  fascinating runner In which you need to get from point A to point B using only the mouse and one button Simple is not it
Deadline of the Dead,Shooter,Balance work and not being eaten by zombies
Death Space,Adventure Indie,You play as a scientist named Elmagamed at the 69th space station and you got to escape from a monstrous mutant
Cross the Road,Indie,Players must jump across the street without getting hit by cars or trains while collecting coins to unlock new characters
Death Game+,Simulator Adventure Indie,Its a race to your grave Can you die before everyone else or will you be forced to watch in despair living to a ripe old age before finally succumbing to a regular uninteresting ending
Cubes and More Cubes,Puzzle,A puzzle game with many levels and interesting gameplay Frequent updates and themed updates such as winter halloween new year etc will not make you bored
Dark Blue Warriorr,Adventure Indie,A portal from Deep Blue appeared and the protagonist of the warrior decided to walk into the portal to find out Come on warrior
Dead Inside,Adventure Indie,Dead Inside is an apocalyptic world where one has to face the harshest reality against nature and its habitat Gear up hunt or be hunted
Darkness and Flame: Enemy in Reflection,Puzzle Adventure,Darkness and Flame Enemy in Reflection is an adventure game in the genre of Hidden Objects with plenty of minigames and puzzles unforgettable characters and complicated quests
Danplace,Adventure Indie,In Danplace you are trapped in an unknown and dangerous place to escape you need to lower bridges and fight to survive the dangers of this terrible place
Data mining 2,Indie,Data Mining 2  casual colorful minimalist puzzle in which you have to collect all the files that are not corrupted to exit the closed circle
Darkilson,Indie,Due to a terrible curse the BA Bear was locked down in an asylum for meek and hairy bears Help him get out of this notsodelicious place
Deadly Traps,Indie Arcade,Battle yourself through dangerous traps in this fastpaced platformer
Creepy Pizza Arcade,Indie,An arcade of quirky minigames based on the Creepy Pizza podcast
Dark Canvas: A Brush With Death - Collector's Edition,Adventure,Uncover the mystery behind an artists deadly talent
DangerSpace,Simulator Strategy Indie,DangerSpace is a blend of thrilling space sim and tense RTS gameplay The deliciously heavyweight physicsdriven flight engine gives a new gaming experience
Dangerous Games: Prisoners of Destiny - Collector's Edition,Adventure,You came to the town of Brownville Louisiana hoping to find a new job But you werent expecting to stumble upon a strange adventure in a world filled with beauty and danger
Dark Sauce,Platform Adventure Indie,Take gold from the dragon and not become a barbecueColorful cubic platformer about pig and dragon
Dark City: Paris - Collector's Edition,Adventure,The World Expo is coming to Paris
Deadluck,Adventure,It is a colorful and fast war game where you shoot the enemy spaceships coming on you with your plane
Decadence,Shooter,This mod draws inspiration from all over the place but in the end its aiming to be its own thing
CrunchTime,Platform Adventure Indie,A longterm crunch time programmer entered the world of code and became a green cursor Knowing that the condition for getting off work is to find 4 bugs in the code world the adventure begins
Dark Romance: Curse of Bluebeard - Collector's Edition,Puzzle Adventure,Domini Games proudly presents the newest addition to the Dark Romance series
Darkest Hunter,Puzzle Role-playing (RPG) Strategy Adventure Indie Card & Board Game,Choose your hero grab your weapon learn new spells and  HUNT Eliminate every nasty beast you encounter collect loot and find the rarest as well as the best equipment
Dark Snow,Adventure Indie,Dark Snow is the world of our dreams where one can easy get lost and lose a dear person I have lost my sister but I am sure I will find her
Dark Forest: The Horror,Adventure Indie,Dark Forest is an adventure horror game in which you have to find a way out of your prolonged sleep Otherwise you risk staying in it forever
D.U.S.T.,Simulator,Warning DUST requires actual understanding of firearm operations Please refer to our field manuals if you are not familiar with them
Daedalus: Alien Defense,Shooter,Daedalus Alien Defense is a 32level megawad released in 2003 by TeamTNT as a sequel to Icarus Alien Vanguard Originally developed as Doom 2000 it was the first ZDoom mod created by TeamTNT
Cubicus 2,Indie,Continuation of the first part of the puzzle in which you will find even more levels of varying difficulty
Defense of the Oasis,Strategy,One part Minesweeper one part Civilization With every click of the mouse your empire grows stronger But will it be strong enough to withstand the barbarian hordes
Crystal Picnic,Fighting Role-playing (RPG) Indie,Crystal Picnic is a lighthearted and colorful tribute to the classic era of action RPGs
Disco Ball,Indie,Control a glowing ball and perform dexterous maneuvers on moving platforms
Disconcerting Unease 1,Shooter,Weekendlong impromptu speedmapping session four around mediumsized metal levels
Dream Aether,Music Indie,Dive deeper and deeper into dreams in this short musical experience  This is link 6 in the Haunted PS1 CHAIN
Dinosaur Bone Digging,Simulator Sport Adventure Indie,Excavate and collect ancient dinosaur bones and different hidden objects  you must clean the bones and make your own dinosaur by playing amazing dino puzzles
Delia's Adventure,Platform,A Story where nothing goes wrong  This is a game made with the criteria of only having 3 colors and 3 buttons left right jump
Desolate Sands,Simulator Adventure Indie,Explore an Ancient Egyptian tomb Climb And solve puzzles to discover the mysteries within
Deja Vu: Collector's Edition,Adventure Indie,Young American seeking his girlfriend who has gone missing in a backwater Russian city where it seems nothing much has changed since Soviet times
Divilixa,Role-playing (RPG),Divilixa is a game about strife sacrifice and insanity Take the war down into the core of the underworld Fight the darkness Be the saviour
Delicious: Emily's Home Sweet Home,Puzzle Adventure Indie,In Delicious Emilys Home Sweet Home Deluxe you need to help the OMalleys repair their dream house Can you make it a real home Hurry up or it might be comdemned
Destiny Island,Simulator Indie,Destiny Island is a very short computer game You play a man who visits his memories You can walk and talk to mannequins about 7 sins Associate essence with anything comes to your mind
Densha de D: Rising Stage,Racing Visual Novel,Densha de D Rising Stage is the 4th entry in the Densha de D series Its a train racing game that parodies the popular manga series Initial D
Deluge: Sermon for the Dead,Simulator Adventure Indie,In the streets of Abbotsford a girl daydreams of cataclysmic floods Descend into the depths of her tempestuous sorrow An interactive visual novel with psychological and lovecraftian undertones
Duck Hunter Pro,Simulator Sport,Grab your camo shotgun and shells select from 16 unique locations lay out your decoys and head off to hunt more than 10 species of ducks and geese in the marshes lakes and fields of Duck Hunter Pro
Detectives United: Deadly Debt - Collector's Edition,Adventure,United against evil once again
Deus Ex Machina: Episode 1,Adventure Indie,Deus ex Machina is a VR room escape game where you solve puzzles in the lab of a crazy scientist Become a member of DEM  Deus Ex Machina  and save the world in danger
Dumb Ways to Die 2: The Games,Point-and-click Puzzle Sport,Dumb Ways to Die 2 the Games was a game released in November 2014 by Metro Trains Melbourne as a sequel to their Dumb Ways to Die mobile game
Dorke and Ymp,Platform Adventure Indie,This game is a puzzle adventure platformer in which you got to help Dorke and Ymp to make some errands for your evil Master Wizard in exchange of him training you and teaching you his magic spells
Destroy Space Aliens,Platform Adventure Indie,Challenge yourself and enter the castle of the Legendary Sir Frank Jones V to destroy invading space aliens Slash blast and dash your way to victory in this retro sidescrolling actionadventure
Dreamland Solitaire,Puzzle Strategy Indie Card & Board Game,Escape to a world of wonder as you enjoy a magical twist on classic Solitaire Clear cleverly designed puzzle boards and uncover a gorgeous fantasy realm on your journey of relaxation and fun
Duck Duck Swap,Racing Adventure Indie,Are you a duck Or a duck Or a duck Race against the clock to collect 10 slices of bread to feed yourself during winter Swap ducks to unlock different abilities  get that bread
Dungeons of Dredmor: Realm of the Diggle Gods,Role-playing (RPG) Indie,Deep within their underground temples Lord Dredmor plots the next stage in his campaign of merciless brutality and worldterrorizing
Drawz,Indie,As a digitalized version of the chalk and black chalkboard that we knew from our old school years Drawz is an oldskool puzzle game with 45 levels
Draw It! 2,Indie,The second part of the game Draw It With the help of drawing and physics  help the smiley to get to the platformDraw a smiley path using geometric shapes to get to the platform
Drawkanoid: Review Breaker,Indie,Smash through Steam reviews at hyperspeed then guess which game they came from Key resellers are bad for the industry support developers directly
Dungeon Lords,Role-playing (RPG) Adventure,A pure Role Playing Game in every sense of the word
Detective Agency 2,Adventure,A colourful Hidden Object Game with a thrilling storyline Solve the puzzles and find the bankers wife
Detective Stories Bundle,Puzzle Adventure,Artifex Mundi Hidden Object Games Bundle
Drom,Indie,Described by the developer A short pointless game about a dream I once had
Dr Livesey Rom and Death Edition,Shooter Adventure Indie,Gentlemen from now on rom and death means the same thing for you
Duck Jam,Arcade,5 second microgames with an emphasis on humor
Distorted Reality,Adventure Indie,Distorted Reality is a firstperson survival horror which takes place in the hospital of Alexandria For mysterious reasons the usual laws of physics in the hospital completely stopped working
DotLine,Strategy Indie,DotLine is a challenging minimalist puzzle game Click on puzzle elements to drive the ball to the exit without falling into the void Completing the game will require fast thinking and reaction 
Dread station,Indie,Dread station is dark intense First person shooter with hardcore action and beautiful graphics
Diablo III: Battle Chest,Role-playing (RPG) Hack and slash,It contains   Diablo III  Diablo III Reaper of Souls
DungeonGoGo,Indie,DungeonGoGo is a challenging precision platformer where you escaping from light prison and help rescue your friends from their secrets chambers where they are holded
Dying Light: Snow Ops Bundle,Role-playing (RPG),Level up selected skill trees faster with the special outfit and use the new grenade launcher to freeze your enemies
FIFA Soccer 09,Sport,PlayStation 2 and PC port of FIFA Soccer 09
Euro Truck Simulator 2: Wielton Trailer Pack,Simulator Indie,The Wielton Trailer Pack DLC includes officially licensed content including 6 trailer types with a variety of trailer and chassis sizes cabin accessories and customization options
Fairy Tower Defense,Strategy Indie,Fairy Tower Defense  an exciting game in the genre of Tower Defense in which you have to protect your castle from the armies of the undead and other fabulous monsters
Evil Genius 2: World Domination - Team Fortress 2: Pyro Pack,Simulator Strategy,The Pyro is a dangerous uncontrollable force of destruction who acts without regard for the lives of those around them Considered maniacal by some the Pyro is a law unto themselves
Dust n Wheels,Racing Sport Indie,With its fussfree gameplay Dust n Wheels immerses you into its beautiful and challenging world of highadrenaline racing that excites thrills and keeps you at the edge of your seat
Endless Bullet Heaven,Indie,In this endless bullet avoidance game you join the fallen angel named Brace in her fight to survive the heavens in which she once resided
Eraser,Platform Indie,Throw your stickfigureself at cannonballs and airplanes in an upward pursuit of the eraser Play cooperatively online to share the journey Whos to say whether the company will help or hinder though
Earthrise,Puzzle,In this decadeslater copy of The Incredible Machine players must construct overly elaborate devices in order to accomplish simple tasks
EeOneGuy Adventure,Adventure Indie,A little game about the famous youtuber EeOneGuy
Evilmun Online,Platform,Evilmun Online  a separate part of your favorite online game mode for all platforms
Europa Universalis,Simulator Strategy Turn-based strategy (TBS),Based on a French board game of the same name Europa Universalis allows players to take control of a civilization between 1492 and 1792
Endrr,Indie,Survive the hordes of monsters as long as you can Fight upgrade your skills loot equipments die rince and repeat
Extermination,Shooter,Extermination is a well layed out city level the map is packed tightly in and around the main street
Escape of Pig,Simulator Adventure Indie,Escape of Pig is a casualthinking game where your mission is to help the pigs to escape
Dwarfender,Indie,Dwarfender is an actionstrategy fantasy game in third person set traps to repel waves of angry golems  Take control of Rigolain a dwarfengineer ready for anything in the heat of battle 
Escape of Mari: The Polar Ladybug,Indie,Help Mari the ladybug to get through the polar lands full of spiders and other obstacles In this arcade game you need to be very precise with a mouse in order to get to the end of level
EverQuest II: Destiny of Velious,Role-playing (RPG),Destiny of Velious is the seventh expansion to EverQuest II
Dying Light: Shu Warrior Bundle,Role-playing (RPG),The bundle includes a new outfit which reduces the chance of being grabbed by a zombie a new buggy paint job and three new weapons a crossbow a sword and a polearm
Eva Reynes,Role-playing (RPG) Strategy Adventure Indie,Play as a detective fighting to banish the ghosts of her past on a journey of revenge rediscovery and selfredemption
Extreme Terror,Shooter,Demons have once again invaded a UAC military base Since you seem to be good at stopping such invasions the UAC has sent you to contain the situation
EverQuest: Omens of War,Role-playing (RPG),Omens of War is the eighth expansion for the popular MMORPG franchise EverQuest
Empty.,Puzzle Indie,Everything must go    A simple zenlike puzzle that has no clock and no score    Clear the room of all the objects by rotating it If an object is not visible its not there anymore
